price
618.00
619.22
619.75
620.49
621.65
622.82
624.71
626.28
626.87
627.97
628.41
629.80
631.51
631.91
632.85
634.17
635.40
636.14
636.57
637.57
638.64
640.28
640.34
640.70
641.57
642.89
644.79
646.19
647.13
647.91
649.79
651.17
652.20
654.80
657.80
658.33
659.11
661.04
661.85
662.65
665.10
666.50
667.29
669.37
669.65
670.74
671.48
672.68
673.14
673.63
674.05
674.40
675.53
676.66
678.47
679.70
681.39
682.25
683.26
683.61
684.24
685.53
686.10
687.23
688.32
688.90
689.45
689.70
690.74
691.24
691.66
692.31
693.09
694.04
695.31
696.61
697.30
698.96
700.28
701.37
701.99
702.78
703.64
705.45
707.61
708.61
709.85
710.88
712.39
713.38
713.85
714.47
715.38
715.63
716.48
716.87
717.91
718.59
719.79
720.82
721.25
721.39
721.99
722.73
723.38
724.17
724.87
725.39
727.07
727.97
729.31
729.80
731.71
732.56
733.76
734.59
735.35
736.13
736.57
737.55
738.08
739.14
739.59
740.79
740.92
741.62
742.89
743.91
744.50
745.02
745.88
746.95
747.84
748.82
749.53
750.64
751.53
752.13
754.00
754.85
756.00
